op_id,Mach,alt_ft,PC,time_s,dist_nm,T3_K,P3_Pa,FAR,mdot_air3_kg_s
8.000000000000000000e+01,5.500000000000000444e-01,2.250000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.653631345113768703e+02,6.364718343357533449e+05,1.348664725256406259e-02,4.327127944312938013e+00
8.100000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.687970480397782467e+02,2.912596755239841877e+05,1.009512609314252955e-02,2.218438926114980170e+00
8.200000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.873536736157676046e+02,3.356252864007239114e+05,1.117117793899887433e-02,2.472127919597439938e+00
8.300000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.012943991731319784e+02,3.693819256667803274e+05,1.199224715997454158e-02,2.656868166067388959e+00
8.400000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.161997688161309270e+02,4.052969744648899650e+05,1.286950989677317254e-02,2.845382562017923167e+00
8.500000000000000000e+01,1.000000000000000056e-01,3.000000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.395357386505348813e+02,4.575423282457366004e+05,1.421075385560299081e-02,3.099589639493732562e+00
8.600000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.691409813521132151e+02,2.916007791295914794e+05,9.922888637905361714e-03,2.229421592853893408e+00
8.700000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.873024512017089478e+02,3.361693242941295612e+05,1.097204087116487349e-02,2.486730246942087330e+00
8.800000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.012406116639031666e+02,3.699203791439558263e+05,1.179841710283665093e-02,2.671497057294895949e+00
8.900000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.153951505188722422e+02,4.061142981288191513e+05,1.262926789896009518e-02,2.865535605161657173e+00
9.000000000000000000e+01,2.500000000000000000e-01,3.000000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.372992086283343269e+02,4.581229430624133092e+05,1.393347128168350400e-02,3.124437117799016228e+00
9.100000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.697764461932790709e+02,2.924648682975550764e+05,9.592362572043091826e-03,2.253692973464835436e+00
9.200000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.879621179934475208e+02,3.368583808992513805e+05,1.066116382265158355e-02,2.508356475663118257e+00
9.300000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.011656250091128868e+02,3.710190491013786523e+05,1.143360283897465642e-02,2.699747497461069567e+00
9.400000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.150687518692634512e+02,4.072634928712673718e+05,1.225841605638396808e-02,2.895531769856359627e+00
9.500000000000000000e+01,4.000000000000000222e-01,3.000000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.355032039574055034e+02,4.599019349355377490e+05,1.347204007164570436e-02,3.165933904283665168e+00
9.600000000000000000e+01,5.500000000000000444e-01,3.000000000000000000e+04,2.999999999999999889e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.706104749057219010e+02,2.934635473880378995e+05,9.103158573455776004e-03,2.284461670277565748e+00
9.700000000000000000e+01,5.500000000000000444e-01,3.000000000000000000e+04,4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.889871846424511546e+02,3.379986346772327670e+05,1.019995056500554165e-02,2.541467905386421755e+00
9.800000000000000000e+01,5.500000000000000444e-01,3.000000000000000000e+04,6.499999999999999112e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.017597181935063304e+02,3.724112328374019708e+05,1.094784630841789778e-02,2.737153983241224608e+00
9.900000000000000000e+01,5.500000000000000444e-01,3.000000000000000000e+04,8.249999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.149929210190888398e+02,4.090529165876710322e+05,1.172856913610866719e-02,2.939434387121587111e+00
1.000000000000000000e+02,5.500000000000000444e-01,3.000000000000000000e+04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.337780799402512457e+02,4.623691269525061944e+05,1.284737726097778115e-02,3.223093943636668790e+00
