Mach,alt_ft,PC,T3_K,P3_Pa,FAR,mdot_air3_kg_s,EINOX,EICO,EIUHC
0.4,5000.0,0.9,722.8328272197671,1920223.9555356004,0.023094013961702606,32.11603700984984,22.03046022239009,2.1056244159590003,0.01689400887519131
0.4,5000.0,1.0,739.0244835936683,2076920.068654956,0.02413386179572576,34.19901221208431,21.05865607843877,1.9288200439558818,0.016764930638140944
0.4,10000.0,0.3,581.7029367736175,834899.7143220617,0.015731038849529224,16.06896948997554,8.312048841962191,8.8273624659629,0.10144796472869685
0.4,10000.0,0.55,646.5855970961563,1210004.5864792624,0.019225626681442995,21.675716749252548,20.181828427717146,4.28304601136665,0.0642146499809283
0.4,10000.0,0.8,697.2190354685636,1575210.3998449887,0.022134168662030156,26.82075272166812,22.22750422208244,2.698751149279835,0.0613747114565249
0.4,10000.0,0.9,714.8003772338067,1719780.899875172,0.023229346835599286,28.78152481846673,21.15321954432039,2.3785601415643596,0.01892366841822563
0.4,10000.0,1.0,731.4414347175635,1863303.0001569923,0.02433378338908621,30.67538806368888,20.2141315497927,2.1896216697621425,0.018542812476424083
0.4,15000.0,0.3,570.2181797856525,725037.7616118575,0.015773139837920242,14.003318410588252,7.624009012540788,10.2334044814227,0.11328722557213644
0.4,15000.0,0.55,636.2668814021963,1064695.6180497354,0.019233108546275853,19.13171540135034,18.882049312564757,4.852410002464292,0.07145774384180273
0.4,15000.0,0.8,687.8683647377705,1395866.8826698228,0.022190081053566298,23.8130129306392,21.335666051715748,3.0628823379229946,0.06752225178927067
0.4,15000.0,0.9,705.7973743181734,1526487.2555450029,0.02334676941699832,25.574207345423755,20.31589307712155,2.7082772948183806,0.021395743904955113
0.4,15000.0,1.0,723.5328842743575,1659716.3330675804,0.024541940106696632,27.31804942685099,19.428886118001422,2.500473410769772,0.02065702105511941
0.4,20000.0,0.3,567.1198681642372,660046.2147975853,0.016245717729194552,12.668111707569746,8.205066792355067,10.611177011792867,0.11274443621654391
0.4,20000.0,0.55,624.7602838568731,925668.0825400846,0.0191754844497334,16.705979009645315,17.40716392641232,5.580606345758771,0.08040397879930658
0.4,20000.0,0.8,676.6455062345065,1220342.3197412007,0.02218882502851697,20.88380121322439,20.421316033911452,3.5270027811455296,0.07477168505647952
0.4,20000.0,0.9,695.472011053062,1339121.5555013996,0.023400149151050112,22.483396699485525,19.571291445108713,3.1159736295215152,0.07391683077746347
0.4,20000.0,1.0,714.8899446902576,1460780.2512937477,0.024769018842653336,24.03818699357649,15.17128628322248,43.8586528678521,0.12005888347791896
0.5,0.0,0.3,614.22302860281,1153065.1504417264,0.015774043372419812,21.922023217797783,10.59645828721094,6.114292669937126,0.07611953421558305
0.5,0.0,0.55,673.2859399375799,1598553.9708094092,0.019094384802661585,28.451233139420008,23.421792898008306,3.208431345502958,0.05229368622219094
0.5,0.0,0.8,719.2637040839451,2029645.0575686304,0.02180219371777333,34.48160603869784,25.03451016520469,2.0409650974620304,0.015071541991855902
0.5,0.0,0.9,735.878688464547,2199462.925854611,0.022812120948074523,36.77434120857498,23.832689091013012,1.790098195952007,0.015056654466614902
0.5,0.0,1.0,751.2548118453212,2366516.627858572,0.02381078938976157,38.98021886069578,22.684753376483105,1.636567318519809,0.015156422410801533
0.5,10000.0,0.3,591.9568835873225,886244.6828782905,0.015817135253637163,16.971750899811767,9.056311435734134,8.064940381832553,0.09557957076489723
0.5,10000.0,0.55,654.4545814777471,1262974.50798174,0.01922067798195344,22.571357815393135,20.953202392779314,4.046325718583253,0.06331594651474629
