Altitude_ft,Mach,ThrustFraction,Efficiency,TSFC,ThrustLapse,T3_K,P3_Pa,FAR,mdot_air3,mdot_inlet,BPR
1.500000000000000000e+04,2.999999999999999889e-01,5.500000000000000444e-01,1.851589317755456543e-01,1.214301471158079878e-05,5.623138056028169629e-01,6.294608972563909219e+02,1.023047142691391520e+06,1.919990298645601889e-02,1.843036778128535147e+01,1.891861035237513420e+02,6.549876167874498556e+00
1.500000000000000000e+04,2.999999999999999889e-01,8.000000000000000444e-01,1.852280159187577324e-01,1.213848575432127759e-05,5.623138056028169629e-01,6.828820800636752892e+02,1.356065926166855730e+06,2.221697225857733465e-02,2.315866137704130168e+01,2.167172961009606240e+02,5.882793161868620224e+00
1.500000000000000000e+04,2.999999999999999889e-01,9.000000000000000222e-01,1.836449745019794189e-01,1.224312093825797667e-05,5.623138056028169629e-01,7.015692548318575064e+02,1.488967302526337793e+06,2.338828774274023109e-02,2.496203831209113488e+01,2.261769743652704960e+02,5.664275497675764548e+00
1.500000000000000000e+04,2.999999999999999889e-01,1.000000000000000000e+00,1.809047665741279065e-01,1.242857043023093378e-05,5.623138056028169629e-01,7.201474806970537657e+02,1.624455670128011610e+06,2.463088789269815213e-02,2.673529220275769447e+01,2.347793519629597654e+02,5.458914893781434685e+00
0.000000000000000000e+00,4.000000000000000222e-01,2.999999999999999889e-01,1.873735357062213114e-01,1.689420086160247804e-05,6.777866169220779780e-01,6.026852862840248690e+02,1.081250650179327931e+06,1.565216144453395256e-02,2.067962493849270089e+01,2.572212387824577604e+02,8.148476256680849517e+00
0.000000000000000000e+00,4.000000000000000222e-01,5.500000000000000444e-01,2.133593363102661566e-01,1.483659540338208123e-05,6.777866169220779780e-01,6.648421508255687513e+02,1.528552351271736901e+06,1.911037263119056209e-02,2.727004509746624095e+01,3.046008464844724699e+02,7.215421445583991122e+00
0.000000000000000000e+00,4.000000000000000222e-01,8.000000000000000444e-01,2.215679343785393607e-01,1.428693261616719510e-05,6.777866169220779780e-01,7.129131794543192200e+02,1.959978418648463674e+06,2.191057947307334386e-02,3.331449146672790107e+01,3.421338053140602256e+02,6.553485451329755129e+00
0.000000000000000000e+00,4.000000000000000222e-01,9.000000000000000222e-01,2.225955189492063724e-01,1.422097876593769917e-05,6.777866169220779780e-01,7.301265037626113781e+02,2.130756299707028549e+06,2.294205914803770785e-02,3.562851085687651675e+01,3.553009579782304854e+02,6.334716044499769438e+00
0.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+00,2.228187869660641918e-01,1.420672911594148191e-05,6.777866169220779780e-01,7.461038459131101490e+02,2.300525934391614515e+06,2.394692161431005717e-02,3.788806930379904969e+01,3.676269619951198706e+02,6.136569142669338284e+00
5.000000000000000000e+03,4.000000000000000222e-01,2.999999999999999889e-01,1.926250324896048582e-01,1.614866724525010230e-05,6.281583536207748786e-01,5.922891447987267384e+02,9.527678949608959956e+05,1.568542728201921879e-02,1.828082560270547674e+01,2.239655007062837342e+02,8.010936256721494786e+00
5.000000000000000000e+03,4.000000000000000222e-01,5.500000000000000444e-01,2.165904941168461939e-01,1.436183783348309316e-05,6.281583536207748786e-01,6.559787692070580079e+02,1.363797911776976194e+06,1.918099715113993908e-02,2.437450170619224110e+01,2.664860670972381627e+02,7.041246195273725306e+00
5.000000000000000000e+03,4.000000000000000222e-01,8.000000000000000444e-01,2.230582114292897766e-01,1.394540704351609014e-05,6.281583536207748786e-01,7.054618348131054972e+02,1.762575079886334250e+06,2.202465188957545769e-02,2.998101602022252621e+01,2.999277161767270741e+02,6.357916443728294453e+00
