op_id,Mach,alt_ft,PC,time_s,dist_nm,T3_K,P3_Pa,FAR,mdot_air3_kg_s,EINOX,EICO,EIUHC
61.0,0.1,22500.0,0.3,0.0,0.0,497.5687494107152,402644.56266904855,0.010589017407999418,2.988708013551444,3.438294433504871,11.918232656077869,0.17348465072083744
62.0,0.1,22500.0,0.475,0.0,0.0,516.8391633084123,463165.83067507687,0.011719422609567135,3.326013415571724,4.119040179515672,9.31812301099938,0.047110881627194935
63.0,0.1,22500.0,0.6499999999999999,0.0,0.0,531.0235894844542,508080.8914049601,0.012569241963812448,3.574690988496332,5.547812867486929,8.338046450283985,0.02063301284962632
64.0,0.1,22500.0,0.8249999999999998,0.0,0.0,546.8320706402714,558391.4078911112,0.013511955196805,3.823234426064903,8.139093538981825,7.534294666193256,0.009145939026567778
65.0,0.1,22500.0,1.0,0.0,0.0,570.3595545743405,629106.3299331394,0.014961807645182469,4.158644362462374,14.173441378358698,6.433056405840675,0.0026926862932653292
66.0,0.25,22500.0,0.3,0.0,0.0,497.93258649926446,403119.148163778,0.010403822407760374,3.0037510423102307,3.052244923535069,12.169653562744458,0.2129173821725217
67.0,0.25,22500.0,0.475,0.0,0.0,516.7944026222525,463947.2998015985,0.011505864213151345,3.3460294949258635,3.7077036708514184,9.338179566221815,0.05808216109492102
68.0,0.25,22500.0,0.6499999999999999,0.0,0.0,530.9835843936322,508878.50223209866,0.012358743593154864,3.594751984440672,5.15347314163343,8.29673453698417,0.024677047344118495
69.0,0.25,22500.0,0.8249999999999998,0.0,0.0,545.9991109642513,559558.3040065797,0.013254696891234052,3.8507161205197846,7.690779892302938,7.5056162517186245,0.011275103390979509
70.0,0.25,22500.0,1.0,0.0,0.0,568.7471638581735,630308.3250303053,0.014670736611647752,4.191323242788186,13.964151606754525,6.515557278698641,0.003422809201619891
71.0,0.4,22500.0,0.3,0.0,0.0,498.5514321666458,404137.88977432693,0.010049441911796192,3.0335552076493117,2.4060072268345847,12.847569133596371,0.3174059270927166
